ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
94370,Philipp Pflieger,M,29.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Marathon,,Germany
94428,Andrea Philipp (-Ziercke),F,20.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 100 metres,,Germany
94428,Andrea Philipp (-Ziercke),F,20.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
94428,Andrea Philipp (-Ziercke),F,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 100 metres,,Germany
94428,Andrea Philipp (-Ziercke),F,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
94428,Andrea Philipp (-Ziercke),F,29.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
94430,Lutz Philipp,M,23.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,"Athletics Men's 5,000 metres",,Germany
95060,Tatjana Lofamakanda Pinto,F,20.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 100 metres,,Germany
95060,Tatjana Lofamakanda Pinto,F,20.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
95060,Tatjana Lofamakanda Pinto,F,24.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 100 metres,,Germany
95060,Tatjana Lofamakanda Pinto,F,24.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
95107,Uta Pippig,F,26.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,"Athletics Women's 10,000 metres",,Germany
95107,Uta Pippig,F,30.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Marathon,,Germany
95386,Jonas Plass,M,25.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
95643,Manfred Poerschke,M,22.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
95683,"Leonhard ""Leo"" Pohl",M,27.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 200 metres,,Germany
